CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"A load was being re-positioned on a work bench using an inertia reel. Whilst lowering the load after re-positioning, the wire rope at the carabiner hook end worked its way out of its housing, thus causing the rope to slip from its friction grip retainer. The load dropped approx 25mm back onto the workbench. No damage caused. Investigation on-going to determine how the rope became dislodged.",Process Safety,Rope slip whilst using an inertia reel,Non-Process Safety
A series of thermocouple failures have been experienced on Unit 8's HP bypass. As part of the investigation process vibration was detected on the CRH NRV. The decision was taken to break the unit down and inspect the CRH NRV and undertake a boroscope inspection of the HP Bypass. A section of the diffuser was found to have broken off of the HP Bypass.,Process Safety,Unit 81  MS HP Bypass CV Diffuser End Plate weld failure,Non-Process Safety
"It appears that U6 Sequencers (HRSG/WSC and ST) stopped running(Disabled themselves) when restarting the unit from an SSD trip during unit start-up. 
It was not noticed that the sequencers were not running initially (no alarms) until the operator realised that the HP bypass had failed to open. Immediately the HP by-pass was manually switched on which resulted in the HP-pass opening to pressurise the cold re-heat line as designed. This had the result of pressurising the CRH line due to high pressure already in the HP steam line. this consequently led to the CRH safety valves lifting at their designed lift pressures. 
Just after the HP-bypass had been switched on it was then noticed that the HRSG/WSC and ST sequencers were not running, these were immediately re-started. Once the condenser vacuum had reached 300mbar, the CRH pressure was able to relieve to the condenser via the IP by-pass valve. The unit the ran up as designed.",Process Safety,Uncontrolled Release of steam via safety valve.,Non-Process Safety
Wiring Fault causing panel to trip on Hydrovane Compressor while being used on customer location,Process Safety,Wiring Fault causing panel to trip on Hydro-vane Compressor,Non-Process Safety
"Fire and gas test (SIS-033) was undertaken which requires applying test smoke gas to the test point UBX24ZS001 so7-so8 and to observe UBX24ZS001 in the instrument room UBX12 to make sure it indicates and alarms. These are the high sensitivity smoke detectors located in Corridor UBX23 Basement. 

On applying the test smoke gas to UBX12 UBX24ZS001 So7-So8 they did not alarm when smoked and traced to a sample tube broken or detached under floor.",Process Safety,Fire and Gas Test (SIS-033) Smoke detector not alarming during test,Non-Process Safety
Kondensomat durch Bewuchs nicht mehr zugaenglich,Process Safety,"Block 5, Gipsentwaesserung - unzugaenglicher Kondensomat",Non-Process Safety
Kleine Biopropaan lekkage bij branders,Process Safety,Kleine Biopropaan lekkage bij branders,Non-Process Safety
"Hafenanlage, OEl-Ponton - Abstiegsstellen Schiff/Uferentlader
Beschilderung austauschen.
Erreichbarkeit der Tel. -2252 (Hafenmeister) war zum Zeitpunkt der Begehung nicht gegeben. UEberpruefung Telefonnummer Hafenmeister, Schild muss gebenenfalls angepasst werden.",Process Safety,"Hafenanlage, OEl-Ponton - Abstiegsstellen Schiff/Uferentlader
Beschilderung austauschen und UEberpruefung Telefonnummer Hafenmeister auf Schild",Non-Process Safety
"Locatie handbrand melder: 10,7 mtr vloer ketelhuis 

Er zijn die dag testen uitgevoerd met div handbrand melders deze was helaas niet goed terug gemonteerd waardoor het glaasje kon zakken.
en het systeem kon activeren.",Process Safety,activering handbrand melder op 24-08-20,Non-Process Safety
"Environmental Office greatly improved since previous walk around. Desks tidiness could be improved.
410 Workshop/Lab Generally untidy - time needs to be set aside with 5s in mind sort out. 1x gas cylinder in Environmental side of lad not secured safely.
Archive Shed - Untidy.
CTF rig hall - probe rack untidy, PPE left out, ensure fire exits are kept clear if storing equipment in the area. Unsecured gas cylinders in back workshop.
Spanner and Side cutter storage should be taken as an example of how to improve UKAS lab.",Process Safety,Safety Walk VS/DS Test & Measurement and Environmental Workshop/Lab areas,Non-Process Safety
activatie blussing houtsilo's zit verkeerd om en worden niet geactiveerd bij bediening vanaf DCS,Process Safety,Activatie houtsilo's,Non-Process Safety
"A number of findings please see action list 
R Stokes
M Lickess",Process Safety,Safety Walk Area F,Non-Process Safety
(Outage) - After putting U2 6.6kV HVAC 'B' back in service it was noticed that smoke was coming from the switchgear cubicle.,Process Safety,HMC1172 6.6kV VCB failed to operate in remote,Non-Process Safety
Op de 3 demiwatertanks en breekwatertank van UCML zijn verkeerde coderingen geplaatst. De benamingen van de tanks en appendages komen niet overeen met PID en DCS. Hierdoor ontstaat er verwarring en kan de procesveiligheid in gevaar komen,Process Safety,Verkeerde coderingen op tanks/ appendages/ leidingen,Non-Process Safety
"Nach dem Abstellen des Block 5 um 9:17 und anschliessender Begehung wurde festgestellt, dass Wasser aus der Isolierung im Beriech 38m Verdampferbereich Ecke Nord/Ost austritt. Der Block wurde daraufhin NV gemeldet und mit der Ursachenklaerung begonnen.",Process Safety,Aussenliegender Kesselschaden Verdampfer 38m,Non-Process Safety
Significant slip hazard at the entrance to the forest / exit to the rear car park at the EA,Process Safety,High build up of wet leaves on track and entrance to carp park,Non-Process Safety
"On 08 th Nov 2020, at 11:59 hrs CPU 01 trip due to the Failure of UPS SMX3000HV (which is an old
one kept for worst case scenario, as the Primary UPS is under repair by vendor) & CPU 02 trip
because of TRIP of P-1-001 reasoned for pressure surge in the suction loop, this in turn caused higher
suction pressure in P-2-001 and tripped UNIT 2. As the result of this failure SCADA monitor and BMS
panel black out and Fire alarm signal received in VTTI terminal panel. Immediately CPU Panel
operator informed it’s a Faulty alarm to VTTI terminal CR and refinery CR & HSE. Uniper Electrician
bypassed fire alarm relay. The detailed incident sequence mentioned below. CPU 02 startup activity
commenced at 1300 hrs and same day at 17:30 CPU 01 Faulty UPS replaced and CPU 01 plant startup
resumed.",Process Safety,CPU trip due  due to the Failure of UPS unit,Non-Process Safety
"Aufgrund einiger Leckagen in der Vergangenheit im Rohrsystem der Hydraulischen Barriere Ost (HBO) wurden weitere Rohrleitungsabschnitte 
mittels ZFP untersucht. Bei den Ergebnisse wurden 3 Schadstellen entdeckt und anschliessend repariert. Da die Nutzung der HBO im Gasbetrieb hoeheren Druecken als im Wasserbetrieb ausgesetzt ist wurde auch der TUEV hinzugezogen um die weiteren Vorgehensweisen mit dem Betrieb abzustimmen und andere Anlagenteile ebenfalls zu pruefen.",Process Safety,"Materialschwaechung der HBO- Rohrleitung (Armaturen, System)",Non-Process Safety
"Unit 3 synchroniser failed to operate and the unit failed to come on load at the planned time. 
Loss of availability and generation",Process Safety,Operational Loss - Unit 3 Synchroniser failed to operate.,Non-Process Safety
Door een onterechte activering van handmelder 00-SGC41CQ050 is de brandblussing 5e part Afb 17 geactiveerd. Dit is al meerder malen gebeurt. Door de blussing is er een hoop water met kolenstof naar de hoektoren gespoeld. Dit geeft een hoop vervuiling met kans op uitglijden enz.,Process Safety,Onterechte brandblussing 5e part Afb17,Non-Process Safety
"Het bedienings panel is met de bouw neer gezet als onderdeel in de wacht.
Na de diverse veranderingen is dit nu een vergader/flex-plek ruimte.
Het panel is voorzien van een sleutel schakelaar maar uit de tekeningen is dit niet geheel duidelijk.
Diverse Afgaande velden zijn voorzien van een nood-uit (stuur-kwiteer) zit dit achter de sleutelschakelaar.
De ruimte achter het bord wordt gebruikt als tijdelijke opslag waarbij de toegangsdeur niet afgesloten is
Door deze situatie is het nu onduidelijk of er tgv gebruik ongewenste schakelacties kunnen plaats vinden en in geval van een calamiteit of de nood-uit functioneerd.

Pretect incident nummer 10234 d.d. 12-3-2019",Process Safety,Wandpaneel Elektrisch bediening EFR/WKR,Non-Process Safety
"Es wurde geprueft, ob die Wasseraufbereitung dauerhaft unter Aufsicht ist. Dies kann positiv beantwortet werden. Die Aufstellung des Rohrsystems musste nur noch ein wenig qualifiziert werden, damit ein Abrutschen und folglich Abreissen nicht geschehen kann.",Process Safety,Sanierung Kuehltuerme der Bloecke 1+2 - Wasseraufbereitung,Non-Process Safety
Replacement equipment for plant critical HVAC was procured and installation started before the mods procedure was completed.,Process Safety,Mods Procedure Not Followed,Non-Process Safety
Hire car tyre sidewall damage as delivered,Process Safety,Hire car tyre sidewall damage,Non-Process Safety
"Whilst escorting a NG surveyor, looking at the height of trees under the route of the OHL's, it was observed that a number of substantial trees have fallen in the recent heavy winds",Process Safety,Fallen Trees to Parcel 1A,Non-Process Safety
"Im Rahmen der Stilllegung wurden zwei von drei Speisewasserpumpen-Motoren an das baugleiche Kraftwerk Farge (KWF) verkauft.
Mit der Demontage der beiden Motoren wurde Fa. Hamacher durch KWF beauftragt (Drittpartei).
Die entsprechenden ASI-Papiere lagen vollstaendig vor. Vor der Erteilung der Arbeitserlaubnis wurde eine Unterweisung und eine vor Ort-Einweisung durchgefuehrt.
Nach Demontage der Motoren wurden auch die dazugehoerigen Lagerboecke abgebaut. Hierbei wurde die Messleitung der Lagertemperaturmessung BS beschaedigt und es traten einzelne silberne Tropfen aus.
Da sofort angenommen wurde, dass es sich um Quecksilber handeln koennte, wurde der GKK-Werkstattmeister und der Chemielaborant informiert.
Der Laborant hat die ausgetretene Kleinstmenge an Quecksilber fachgerecht aufgenommen und in einem geeignetem verschlossenen und gekennzeichneten Behaelter zur Entsorgung bereitgestellt.
Die beschaedigte Messleitung wurde verschlossen.
Der Arbeitsbereich wurde abgesperrt. Die Mitarbeiter wurden unterwiesen.",Process Safety,Beschaedigung einer quecksilbergefuellten Messleitung,Non-Process Safety
Rear panel of chipper van was secured during transit resulting in damage to post adjacent to road.,Process Safety,Damage to Post,Non-Process Safety
"Risk of pipe breakage in the basement of the WSG substation in Rotterdam. 

The connection structure of the two recent incidents are identical. The construction consists of a weldolet welded to the DN500 discharge pipe with a front welding flange, a valve and a blanking plate at the end. In both cases the leakage was in the weldolet > DN25 pipe. This type of construction has been used in several places throughout the district heating system. 

The discovery of the leakage has been detected after it has been torn for approximately 85% to 90%.

Findings:
1. Vibrations have been present since construction. This has led to multiple leaks such as in the return system (temporary strainer). Vibration is still present despite modifications.
2. The construction of the connection constructions are heavy compared to the DN25 diameter of the split. 
3. Crack indication occurs first, then leakage and eventually the pipe could break off in the most extreme case.
4. Leaks are hardly ever observed.
5. There is no full security due to the lack of 24/7 staff on location. 

Conclusion:
Uniper runs an increased risk for an impending incident in the other connections in the district heating system.",Process Safety,Risk of Pipe Breakage,Non-Process Safety
Following a confirmed leak on the new ISDH spraybar flange joint U81 was brought offline for opportunity corrective maintenance. During disassembly of the flange assembly one of the fasteners 'picked up' resulting in having to be cut in order to break the flange and complete removal of the flexitallic gasket. A new joint had been reserved against the SAP MO and was free issued from the stores but there had been no requirement for spare bolting identified. On rebuild of the flange assembly standard stainless steel studding was used to replace the fastener that had previously been cut as opposed to T41 grade stainless suitable for high temperature applications,Process Safety,Failure to adhere to PEM-225 High Temperature Threaded Fasteners,Non-Process Safety
"Suffered a second drive failure on Gas Compressor 10. First occurred in December 2018 (synergi case no: 2661)

On investigation it was determined that the fault was again attributed to a fault 0.33µf snubber capacitor as per the initiating event on Compressor 20 only this time on an IGBT as opposed to a clamping diode. 

The capacitor in question was C1 on -G013A7 - MC2 IEGT Stack Phase W.

The drive didn’t trip and there were no signs of any further damage. The site fire & gas system detected smoke/heat and tripped the drive.",Process Safety,Failure of Compressor Variable Speed Drive DC-link power capacitor,Non-Process Safety
Observation on site walk round of temporary air supply hose running into GT aux block from main station air supply. It was questioned as to whether this had been assessed as a SIM or MOD in order to risk assess it. Observation captured to investigate.,Process Safety,GT air temporary supply,Non-Process Safety
"While picking up a plastic storage bin in room 605B (condition monitoring lab) the bin broke in my hand, no injury occurred. The material that the box was made of had become brittle most likely due to age and sunlight",Process Safety,Broken storage box,Non-Process Safety
A chemical dosing valve in the Auxiliary Boiler house has no support and when operated puts stress on the pipework. In this case the valve became very tight to operate and increased the forces on the pipework. Pipe and valve contain ammonia.,Process Safety,Chemical Dosing Valve in plastic pipework does not have support bracket,Non-Process Safety
"Es wurde ein Glutnest auf dem Aussenlagerplatz (Aktivlager) festgestellt. Die betroffene Stelle der Kohlehalde wurde mit dem Radlader aufgefahren, die erwaermte Kohle verteilt und mittels fest installiertem Wasserwerfer abgeloescht.",Process Safety,Glutnest Aktivkohlelager,Non-Process Safety
Unit 7 hrsg ip reheater drain line failure,Process Safety,drain line failure,Non-Process Safety
PFA spillage in dust silo loading bay due to overfilling of collection tanker,Process Safety,Operational Loss - spillage of PFA following overfilling of tanker,Non-Process Safety
Bushes growing into walkway between EA & UTG car park causing hazard,Process Safety,Description,Non-Process Safety
"4B BOFA FAN FIRE DETAILED AS BELOW
• 20:42hrs Unit 4 off load
• 22:50hrs Ray Oliver {Coal Plant MCR Supervisor} was doing a walk round on the dust plant and came in via U4 BOFA fan aisle and spotted 4B on fire which he reported on the radio
• 22:50hrs Ops fire team members dispatched to 4B
• 22:55hrs Flames from Fan inboard area {these were around/inside the cladding at the point where the shaft enters the casing rather than the bearing itself}
• 22:57hrs 4B BOFA Fan oil pumps taken o/s manually {we weren’t sure at that time if the lub oil was the cause of the fire} we also monitored the bearing temp from the MCR to make sure they didn’t climb too steeply.
• 23:00hrs fire out using a combination of dry powder and foam extinguishers
• 23:30hrs 4B BOFA isolated ready for inspection
• 23:30hrs to 06:30hrs various visit made to check status of the area",Process Safety,PSO - 4B BOFA FAN FIRE,Non-Process Safety
"HRSG showing signs of case leaking both water and steam.
Further investigations have shown failure of a previous repair to Econ 5.",Process Safety,HP Econ 5 tube leak,Non-Process Safety
"Bei Reparaturarbeiten an der Staubleitung 1 kam es zum Staubaustritt obwohl die zugehoerige Foerdereinheit 1 freigeschaltet war. Bei der Kontrolle der Freischaltung wurde festgestellt, dass die Rohrleitung, welche auf der Rohrtrasse als Leitung 1 bezeichnet ist, zum Foerdergefaess 2 geht und die Leitung 2 zum Foerdergefaess 1.",Process Safety,Staubaustritt aus Foerderleitung,Non-Process Safety
"Whilst Injecting Ammonia to Unit 4 the plant tripped causing the mulsifyer system to operate on several separate occasions. 'C' Vapouriser inlet HRV had operated causing the vent pipework to frost heavily more than would have been expected, releasing ammonia to atmosphere via the vent pipe",Process Safety,Operational Loss,Non-Process Safety
On a plant walk round hot air was found leaking from the Man way door on U7's LP OTC. The temperature of the floor gratings around the leak has been measured at 110C.,Process Safety,LP OTC Air leak,Non-Process Safety
Uit bedrijfname MPP3 voor reparatie,Process Safety,UBN MPP3  voor reparatie wzh,Non-Process Safety
After a period of generation and when the generator shaft is running down the unit trips on excessive vibration when going through critical speeds.,Process Safety,GT2 Generator Shaft vibration on rundown,Non-Process Safety
Heizoelversorgungsleitung: Die oberirdischen Heizoelleitungen im Freien zwischen Tanks und Feuerungsanlagen muessen regelmaessig visuell durch das Betriebspersonal auf Dichtigkeit ueberprueft werden. Dazu muessen die Rohrleitungen frei zugaenglich sein Bewuchs durch Buesche regelmaessig entfernen.,Process Safety,AwSV-Pruefung,Non-Process Safety
"During todays start it was noted there was water on the floor by the HRSG drain valve area which was coming from a failing pipe believed to be the drain from the HP desuper heater drain valve approx half way up the boiler south side. This appears to leak when the drain is open.
Scaffold required to access.",Process Safety,HP desup heater drain vlv pipework leak,Non-Process Safety
"Aufgrund einer Leckage aus der Zwischendecke im Flurbereich des Verwaltungsgebaeudes wurde eine Sanitaerfirma zur Behebung des Schadens beauftragt. Die Leckage befand sich direkt oberhalb einer, der im gesamten Flurbereich verbauten, Deckenleuchten. 
Das Leckwasser konnte somit direkt darauf tropfen. 
Im Zuge der Reparatur bemerkte der Monteur ein knisterndes Geraeusch und eine geringe Rauchentwicklung im Lampenanschlussbereich. Er schaltete daraufhin sofort die Deckenbeleuchtung aus und verstaendigte den beauftragenden Techniker. Da sich in diesem Flursystem ca. 16 Schalter befinden die auf die betroffene Lampe wirken, wurde wegen des dort ebenfalls taetigen, nicht zuverlaessig der deutschen Sprache maechtigen Reinigungspersonals, ein Mitarbeiter zur staendigen ""Bewachung aller Schalter"" abgestellt.",Process Safety,Kabelbrand bei Sanitaerarbeiten,Non-Process Safety
"Disabled Toilet in poor condition
Coffee Machine in poor condition",Process Safety,Safety Walk House Keeping Highlighted,Non-Process Safety
Dampfaustritt bedingt durch Materialverschleiss der Gleitringdichtung.,Process Safety,Gleitringdichtung B-Seite der Vorpumpe Speisepumpe 2 undicht.,Non-Process Safety
"Whilst withdrawing gas from the caverns and changing load from 700,000Sm3/hr to 900,000Sm3/hr by the pressure reduction valves (PRV’s) the plant suffered an unexpected Safety Instrumented System (SIS) trip on rate of change (falling <1bar/min) on the pipeline to the National transmission system (NTS).

In 2011 similar issues were experienced when certain plant conditions were met (approx. 8 bar dp between caverns and the National Transmission System [NTS] system). To prevent this from occurring a Management of Change (MoC) was implemented that allowed the shift operator control of the plant 'global gain'. This global gain effectively slows the plant control system down to prevent these large flow variances happening quickly and thus preventing demands on the SIS system. There is a standing operational instruction for the shift operator to manually change the global gain from 1 to 0.7 when in these pressure ranges.

On this occasion the operator had not reduced the global gain as when the withdrawal nomination commenced the conditions for the global gain to be reduced were not met, however, as these conditions are dynamic as the withdrawal nomination continued the conditions were met but the global gain was not adjusted.

Upon investigation of the DCS trend it appears this has been happening (to a lesser extent) for the past 16 months. This ties in with a rolling programme of overhauling each PRV, of which we have 3 off. It is thought that splitting the flow across two valves instead of three may have contributed to the issues described.",Process Safety,Loss of process control resulting in plant trip,Non-Process Safety
Bei der Routine-UEberpruefung der angelieferten Kohlequalitaeten wurden UEberschreitungen bei den max. zulaessigen fluechtigen Bestandteilen festgestellt. Diese UEberschreitungen erhoehen das Risiko einer Verpuffung im Bereich der Kohlemuehlen und ihrer Heissluftkanaele.,Process Safety,Kohle-Qualitaet: UEberschreitung der max. zulaessigen fluechtigen Bestandteile,Non-Process Safety
"Aufgrund des Ausfalls des DNS-Services konnte das SMS Produktionssystem via VPN nicht mehr erreicht werden.
Dieser Ausfall ist um 21 Uhr zur Schichtuebergabe aufgefallen.
Hierdurch bestand keine Moeglichkeit, den Dispatching Betrieb aus dem Homeoffice auszuueben.
Es ist zu keiner Beeintraechtigung gekommen, da die Spaetschicht bis 21 Uhr vor Ort in der Dispatchingzentrale in Duesseldorf war. 
Waere der Ausfall waehrend der Schichttaetigkeit aus dem Homeoffice aufgetreten und haette der diensthabende Dispatcher sich vom System abmelden muessen (bspw. wegen Softwareupdate), waere fuer die Zeit des dann notwendigen Arbeitsplatzwechsels vom Homeoffice ins Float oder nach Gelsenkirchen (Ausweichzentrale) kein Zugriff auf das System moeglich gewesen.",Process Safety,Storage Management System (SMS): Nichterreichbarkeit des Produktionssystems via VPN,Non-Process Safety
"The wiring on the OCGT CO2 fire system, does not look of a standard required for a fire protection system. this system needs to be investigated as to whether the installation is of a standard required.",Process Safety,OCGT CO2 protection installation,Non-Process Safety
"Es sind Blasgeraeusche zwischen der MD-Turbine und ND-Turbine
kesselhausseitig auf 11m hoerbar. Des Weiteren merkt man warme Luftstroemung.",Process Safety,Blasgeraeusche unterhalb der MD-Turbine,Non-Process Safety
Es gibt keine Moeglichkeit zum Beheizen der Raeume und Flure,Process Safety,Schlechte Klimatisierung in S&E 3/4,Non-Process Safety
"This car was supplied with a slow puncture (second time this has happened) Hertz Birmingham would not answer the phone when I called, so this was reported to the CAT team in order to report to Hertz before the vehicle was returned when they were instructed to replace the vehicle on Wednesday evening at 18:00. 

Unfortunately, the slow puncture rapidly became a more serious puncture resulting in me having to pull off the motorway and change the tyre. This meant that they were instructed to delay the changeover until the Thursday (morning I believe).Hertz ignored this instruction and instead turned up on Friday late morning.The collector of the vehicle asked me to sign his PID and I refused saying it was a pre-existing condition. He stated that it was only to say that there was a puncture when he collected the vehicle and that it was not for generating claims so on this basis I signed his PID as I could not alter the settings.",Process Safety,Slow puncture on Hertz Hire Car,Non-Process Safety
"116 boxes and 'rubbish' on and under worktops, EON lab coat behind door to lab area. 125 - Boxes stored on floor but appear to be for new equipment that has been delivered - please tidy up at nearest opportunity. 123 - Documents pin to wall appear to be years old - please either remove if not needed or make more presentable if needed. 121 - Items on the floor just inside the door - please remove or find more suitable storage location. Lab area - 2 off eye wash bottles out of date, 5 off bulbs blown, samples stored under worktops can these be stored elsewhere?",Process Safety,Safety Walk - Analytical Chemistry office and labs,Non-Process Safety
WTP Acid skid replacement works reported to have commenced without confirmation of Stage 2 approval in place. Modification design review has not been presented or approved by the MRG panel.,Process Safety,Non Adherence to GMI PEM-112 Plant Modification,Non-Process Safety
During a warm run up the unit ramped up quickly causing a deviation from the PN Profile. The ramp rate was slowed on the unit but the unit was slow to respond. Some imbalance was created,Process Safety,Unit fast Run up.,Non-Process Safety
"In der Nachschicht vom 09/02/2020 zum 10/02/2020 um 03:00 Uhr bis 06:00 Uhr kam es zu einer Unterdeckung der Staffelstaerke aufgrund einer ploetzlichen Erkrankung eines Schichtmitarbeiters und eingeteiltem Feuerwehrmannes.
Auflage nach Anordnungsbescheid des RP",Process Safety,Unterdeckung der Personalstaerke der Werkfeuerwehr,Non-Process Safety
Ernstige verstoring brandstof/luchthuishouding DFB 2 door storing/wegvallen wobbe index meting. Hierdoor is de brandstoflucht huishouding dermate verstoord dat er zich een situatie van onder stoichiometrisch stoken heeft voorgedaan,Process Safety,Ernstige verstoring brandstof/luchthuishouding DFB 2,Non-Process Safety
"Das Buero ist aufzuraeumen (viel herumliegendes Papier), u.a. ist ein Briefbeschwerer in Form einer Handgranatenattrappe zu entfernen.",Process Safety,Ordnung Werkstattbuero,Non-Process Safety
"Test was being performed of the following SIS proof test; SIL 1 HAZID 85 - Lean Glycol Buffer Vessel - High level. On performing the test and stepping through each element, at the stage of the main block valve closing (QCB01AA192) it closed, but it failed to indicate closed.",Process Safety,SIS proof test valve limit indication did not operate,Non-Process Safety
"Dienstleister hat beim Umbau der 60V Batterie nicht alle Batteriezellen angeschlossen. Folge war, dass die eingestellte Ladespannung am Ladegleichrichter zu hoch war und dadurch die Batterien ueberladen wurden. Diese UEberladung aeusserte sich in einer Erwaermung der Zellen. Dies wurde relativ schnell bemerkt und der Ladevorgang unterbrochen. Dabei ist kein  Schaden an Umwelt, Personen, Kraftwerk entstanden.",Process Safety,UEberladung der 60V EB Batterie,Non-Process Safety
"Im Zuge von Pruefungsmassnahmen (TUEV) an der SIRA wurde die Vollhuboeffnung der vier einzelnen HDU-Armaturen geprueft. Zum Zeitpunkt der Pruefung befand sich der HD-Teil des Kessels in der Druckhaltung. Das bedeutet, dass der Kessel bis vor die Frischdampfschieber mit Speisewasser gefuellt ist und unter einem Druck von 20 bar steht. Als gegen 13:05 Uhr die HDU Armaturen LBF13 und LBF14 in Vollhuboeffnung gebracht wurden, kam es zur schlagartigen Druckentlastung im Kessel. Dies fuehrte zu Erschuetterungen im Kessel und an den aussenliegenden Dampfleitungen.",Process Safety,Druckstoss durch Pruefung Vollhuboeffnung SIRA,Non-Process Safety
Bei einem Safety-Walk wurde festgestellt das Tueren faelschlicher Weise mit einer Beschriftung - Rauchschutztuer - ausgestattet worden sind. Es geht hierbei um die Verbindungstueren zwischen Maschinenhaus und Kesselhaus. Die Beschilderung wurde wieder entfernt weil die Tueren keine Rauchschutztueren sind. Es gibt keine brandschutztechnische  Abtrennung zwischen den beiden Gebaeuden.,Process Safety,Falsch beschilderte Tuer,Non-Process Safety
U8 tripped from full load on a spiking high vibration signal from bearing no 1.,Process Safety,U8 GT trip on bearing No 1 vibrations,Non-Process Safety
"XV9032 ESD Valve on Uniper Feeder Pipeline Tripped on Low temperature, Causing Delay of performance runs on Killingholme Power station.
the WBH Bypass TCV9031 was open on startup,( SP 7degC, PV >8degC, OP 100%) But ( due to Slow acting, positioner Faulty) it did not close quickly enough resulting in COLD gas bypassing the WBH (TE9038 = 6 DegC ) 
Due to KIPS pipeline Supply pressure being at 59 Bar, a pressure drop of 40 Bar was required to supply the Power Station at 18.5 Bar ,(potential of 20 degC temperature Drop)
This resulted in -12 degC being observed at TSL9031 ESD 2oo3Trip (set -10 degC) Thus causing XV9032 to Close.",Process Safety,XV9032 ESD Valve on Uniper  Feeder Pipeline Tripped on Low temperature,Non-Process Safety
"SH Buer 1: Das aushaengende Erste-Hilfe-Schild wurde nicht hinsichtlich Notfallrufnummern, etc. beschriftet",Process Safety,Erste-Hilfe-Schild nicht ausgefuellt,Non-Process Safety
"On arrival to Site, I heard an abnormal noise from the GRS. Upon investigation, I observed that the Gas Inlet Isolating V/V appears to have been affected by a drop in overnight temperature and caused the inlet seal face to let a small flow of gas through and into the interspace of the V/V. The interspace bleed pipe was coping with the flow as it is designed to do but the isolation was now compromised after being stable since the isolation was put in place 2 months ago. It was also noticed as the ambient temperature increased, the valve has reseated and the gas release has stopped.",Process Safety,Gas Receiving Station Compound - Gas Inlet Isolating V/V.,Non-Process Safety
"Ausfall der Funkrichtstrecke vom HWS nach Datteln 4, damit Verlust einer Redundanz zum Signalaustausch (bedienen beobachten) des Heizwerks Shamrock",Process Safety,Stoerung der Actelisanlage,Non-Process Safety
Whilst removing internal lighting from the GT enclosure on unit 1 it was noticed that a union on the extended discharge pipework was un coupled and loose on the pipework. This has the potential to not allow the CO2 discharge system to operate as designed if required.,Process Safety,U1 CO2 Fire Pipework - loose union,Non-Process Safety
"Die Bohrung wurde im Dezember 2019 gemaess den aktuellen Verfuellungsrichtlinien und dem zugelassenen Verfuellungsbetriebsplan ordnungsgemaess verfuellt.
Bohrungsdaten WM C-2: 9 5/8"" Ankerrohrtour bis 404,6 m zementiert bis zutage; 5 1/2"" Produktionsrohrtour bis 1305,3 m zementiert bis zutage; urspruenglich in den Rohren rueckverfuellt bis 1094,0 m; die Bohrung war geoeffnet im Chatt A-Sand in einer Teufe von 1090,9 - 1092,5 m; Verfuellung der 5 1/2"" Rohrtour mit insgesamt 4 Zementbruecken bis zutage und einem Bridge Plug in Teufe 550 m. Zur Druckbeobachtung wurde das alte Erruptionskreuz wieder montiert. 
Bei einer Routinekontrolle wurde Druck auf dem 9 5/8"" x 5 1/2"" Ringraum festgestellt (am 25 02 2020, ca. 22 bar). Dieser Ringraum war zu Beginn der Arbeiten drucklos! Eine aktuelle CBL/VDL - USIT Messung (Zementationskontollmessung) zeigte eine gute bis sehr gute Zementanbindung bis in die 9 5/8"" Rohrtour hinein (330 m). Darueber ist die Zementanbindung eher maessig bis schlecht.",Process Safety,"Verfuellungsprojekt Weitermuehle, Verfuellung der Bohrung WM C-2",Non-Process Safety
Ringbuehnen fuer die Aufnahme der Schornsteininnenschaefte sind stark verschlissen und muessen dringend saniert werden,Process Safety,Notwendige Sanierungsarbeiten am Kamin,Non-Process Safety
"Bei der Regeneration Kationen/Anionen Filter Str.1 ist die 
Chemikaliendosierpumpe ueber Druck kleiner min ausgefallen. Die 
Regeneration wurde abgebrochen. Bei der Vor-Ort Kontrolle wurde ein 
starker Saeuregeruch wahrgenommen und aus einer Armatur lief Saeure. Armatur daraufhin geschlossen. Bei der anschliessenden Kontrolle 
stellte sich heraus das die Impulsleitung zum Messumformer abgerissen 
ist. Bereitschaft wurde informiert. Am 26.08.2020 gegen 07:00 Uhr kommt 
Firma Muentefering zum Absaugen der ausgelaufenen Saeure und zum Reinigen des Chemikalienraums .",Process Safety,Saeureaustritt im Chemikalienraum HCL,Non-Process Safety
Delivery driver parked on the zebra crossing,Process Safety,Description,Non-Process Safety
In der Werkstatt F ist die Pruefung der Feuerloescher ueberfaellig,Process Safety,Ungepruefter Feuerloescher,Non-Process Safety
